"timestamp","trial","kill_direction","control_plane","cell","rto_seconds","failback_seconds","detected"
"2026-07-28T19:21:06","1","aws","route53","1","101.4","84.9","True"
"2026-07-28T19:21:06","1","aws","traffic_manager","3","96.7","21.6","True"
"2026-07-28T19:25:10","1","azure","route53","2","127.5","90.1","True"
"2026-07-28T19:25:10","1","azure","traffic_manager","4","116.9","30.8","True"
"2026-07-28T19:28:49","2","aws","route53","1","110","82.6","True"
"2026-07-28T19:28:49","2","aws","traffic_manager","3","107.9","23.6","True"
"2026-07-28T19:32:43","2","azure","route53","2","121.2","86.3","True"
"2026-07-28T19:32:43","2","azure","traffic_manager","4","121.2","23","True"
"2026-07-28T19:36:18","3","aws","route53","1","103.1","82.8","True"
"2026-07-28T19:36:18","3","aws","traffic_manager","3","103.1","30.2","True"
"2026-07-28T19:40:25","3","azure","route53","2","126.5","94.6","True"
"2026-07-28T19:40:25","3","azure","traffic_manager","4","111.8","33.1","True"
"2026-07-28T19:43:58","4","aws","route53","1","101.1","80.9","True"
"2026-07-28T19:43:58","4","aws","traffic_manager","3","105.3","28.2","True"
"2026-07-28T19:48:02","4","azure","route53","2","127.2","90.4","True"
"2026-07-28T19:48:02","4","azure","traffic_manager","4","110.1","22.7","True"
"2026-07-28T19:51:46","5","aws","route53","1","107.8","89.4","True"
"2026-07-28T19:51:46","5","aws","traffic_manager","3","97.1","17.2","True"
"2026-07-28T19:55:37","5","azure","route53","2","112.6","89.6","True"
"2026-07-28T19:55:37","5","azure","traffic_manager","4","114.7","26.3","True"
"2026-07-28T19:59:21","6","aws","route53","1","105.3","87.4","True"
"2026-07-28T19:59:21","6","aws","traffic_manager","3","109.8","26.1","True"
"2026-07-28T20:03:17","6","azure","route53","2","115.6","93.5","True"
"2026-07-28T20:03:17","6","azure","traffic_manager","4","24.9","27.6","True"
"2026-07-28T20:06:46","7","aws","route53","1","69.9","81.1","True"
"2026-07-28T20:06:46","7","aws","traffic_manager","3","101.7","30.3","True"
"2026-07-28T20:10:56","7","azure","route53","2","130.6","90.4","True"
"2026-07-28T20:10:56","7","azure","traffic_manager","4","132.7","29","True"
"2026-07-28T20:14:29","8","aws","route53","1","105.9","80.8","True"
"2026-07-28T20:14:29","8","aws","traffic_manager","3","105.9","25.9","True"
"2026-07-28T20:18:24","8","azure","route53","2","116.2","92.6","True"
"2026-07-28T20:18:24","8","azure","traffic_manager","4","107.8","27.4","True"
"2026-07-28T20:22:07","9","aws","route53","1","111.5","84.6","True"
"2026-07-28T20:22:07","9","aws","traffic_manager","3","103.1","21.5","True"
"2026-07-28T20:26:19","9","azure","route53","2","137.5","88.1","True"
"2026-07-28T20:26:19","9","azure","traffic_manager","4","12.9","18.7","True"
"2026-07-28T20:29:49","10","aws","route53","1","105","78.5","True"
"2026-07-28T20:29:49","10","aws","traffic_manager","3","98.7","21.5","True"
"2026-07-28T20:33:53","10","azure","route53","2","128.6","89","True"
"2026-07-28T20:33:53","10","azure","traffic_manager","4","101.2","31.9","True"
